#t, t_sol, st_sol, v_sol, sv_sol, ph_sol, sph_sol, stabilite
0.00;23.22;0.01;786.73;1.05;7.06;0.04;1.76
2.57;23.22;0.01;786.91;1.00;7.06;0.04;2.42
5.36;23.23;0.01;786.91;0.79;7.06;0.03;2.88
8.16;23.22;0.01;786.55;0.66;7.07;0.02;3.23
10.97;23.23;0.02;787.27;1.05;7.04;0.04;3.49
13.76;23.23;0.00;787.27;1.05;7.04;0.04;3.69
16.57;23.22;0.01;786.82;1.40;7.06;0.05;3.84
19.36;23.22;0.01;786.73;0.86;7.06;0.03;3.95
22.16;23.21;0.01;787.00;1.04;7.05;0.04;4.01
24.97;23.22;0.01;786.91;1.08;7.06;0.04;4.03
27.76;23.22;0.01;787.09;0.67;7.05;0.02;4.01
30.57;23.22;0.01;787.36;0.88;7.04;0.03;3.95
33.36;23.22;0.02;786.91;1.31;7.06;0.05;3.84
36.16;23.21;0.01;787.45;1.16;7.04;0.04;3.69
38.97;23.22;0.01;787.36;1.30;7.04;0.05;3.49
41.76;23.22;0.01;786.82;1.34;7.06;0.05;3.22
44.56;23.22;0.01;787.18;1.03;7.05;0.04;2.88
47.36;23.22;0.01;786.55;1.08;7.07;0.04;2.42
50.16;23.22;0.01;787.55;0.89;7.03;0.03;1.76
52.96;23.21;0.01;787.00;0.60;7.05;0.02;0.01
